Merit,Department,HSC Group
222,Dept. of Economics,HUMANITIES
223,Dept. of International Relation,SCIENCE
224,Dept. of International Relation,HUMANITIES
225,Dept. of Economics,SCIENCE
226,Dept. of International Relation,SCIENCE
227,Dept. of Economics,HUMANITIES
229,Dept. of Political Science,HUMANITIES
230,Dept. of Economics,SCIENCE
231,Dept. of Economics,SCIENCE
232,Dept. of Economics,SCIENCE
233,Dept. of Finance,SCIENCE
235,Dept. of Economics,SCIENCE
236,Dept. of International Relation,SCIENCE
237,Dept. of International Relation,HUMANITIES
239,Dept. of Economics,HUMANITIES
241,Dept. of Economics,HUMANITIES
242,Dept. of Economics,SCIENCE
243,Dept. of Economics,SCIENCE
244,Dept. of International Relation,SCIENCE
245,Dept. of International Relation,HUMANITIES
246,Dept. of International Relation,HUMANITIES
247,Dept. of Economics,HUMANITIES
249,Dept. of Economics,HUMANITIES
250,Dept. of Economics,HUMANITIES
251,Dept. of Economics,HUMANITIES
252,Dept. of Economics,HUMANITIES
255,Dept. of Economics,SCIENCE
256,Dept. of Economics,SCIENCE
257,Dept. of Economics,SCIENCE
258,Dept. of International Relation,HUMANITIES
259,Dept. of Economics,SCIENCE
260,Dept. of Economics,BUSINESS
261,Dept. of Economics,HUMANITIES
262,Dept. of Economics,HUMANITIES
263,Dept. of International Relation,HUMANITIES
264,Dept. of International Relation,SCIENCE
265,Dept. of Economics,SCIENCE
266,Dept. of Economics,HUMANITIES
267,Dept. of International Relation,HUMANITIES
268,Dept. of Economics,HUMANITIES
269,Dept. of International Relation,SCIENCE
270,Dept. of Economics,SCIENCE
271,Dept. of Economics,SCIENCE
272,Dept. of International Relation,HUMANITIES
273,Dept. of Economics,SCIENCE
274,Dept. of Public Administration,HUMANITIES
275,Dept. of Political Science,HUMANITIES
277,Dept. of Economics,HUMANITIES
278,Dept. of International Relation,BUSINESS
279,Dept. of Economics,HUMANITIES
280,Dept. of International Relation,HUMANITIES
283,Dept. of Economics,BUSINESS
284,Dept. of Economics,HUMANITIES
285,Dept. of International Relation,HUMANITIES
286,Dept. of Economics,SCIENCE
287,Dept. of Economics,SCIENCE
288,Dept. of Economics,SCIENCE
290,Dept. of Economics,SCIENCE
291,Dept. of Economics,SCIENCE
293,Dept. of Economics,HUMANITIES
295,Dept. of Economics,SCIENCE
296,Dept. of Economics,HUMANITIES
297,Dept. of Economics,BUSINESS
298,Dept. of International Relation,HUMANITIES
299,Dept. of Economics,SCIENCE
300,Dept. of Economics,HUMANITIES
301,Dept. of Economics,HUMANITIES
303,Dept. of International Relation,HUMANITIES
304,Dept. of International Relation,HUMANITIES
305,Dept. of International Relation,HUMANITIES
306,Dept. of Economics,SCIENCE
308,Dept. of Economics,SCIENCE
310,Dept. of International Relation,SCIENCE
311,Dept. of International Relation,SCIENCE
314,Dept. of Economics,SCIENCE
315,Dept. of Economics,SCIENCE
316,Dept. of Economics,HUMANITIES
317,Dept. of Political Science,HUMANITIES
318,Dept. of Economics,HUMANITIES
319,Dept. of International Relation,BUSINESS
321,Dept. of Economics,HUMANITIES
323,Dept. of Economics,SCIENCE
324,Dept. of Political Science,SCIENCE
325,Dept. of Political Science,HUMANITIES
326,Dept. of Development Studies,HUMANITIES
327,Dept. of International Relation,HUMANITIES
328,Dept. of Economics,HUMANITIES
330,Dept. of International Relation,HUMANITIES
333,Dept. of International Relation,HUMANITIES
335,Dept. of International Relation,SCIENCE
336,Dept. of Political Science,HUMANITIES
338,Dept. of Economics,SCIENCE
339,Dept. of Public Administration,HUMANITIES
340,Dept. of Economics,SCIENCE
342,Dept. of Economics,SCIENCE
343,Dept. of International Relation,HUMANITIES
346,Dept. of Political Science,BUSINESS
347,Dept. of International Relation,HUMANITIES
348,Dept. of International Relation,SCIENCE
349,Dept. of Economics,SCIENCE
350,Dept. of Economics,SCIENCE
351,Dept. of Economics,SCIENCE
354,Dept. of International Relation,SCIENCE
355,Dept. of Economics,SCIENCE
357,Dept. of International Relation,HUMANITIES
358,Dept. of Sociology,HUMANITIES
359,Dept. of Political Science,HUMANITIES
361,Dept. of Public Administration,HUMANITIES
362,Dept. of Public Administration,SCIENCE
363,Dept. of Political Science,HUMANITIES
364,Dept. of Economics,SCIENCE
365,Dept. of International Relation,HUMANITIES
366,Dept. of Economics,SCIENCE
367,Dept. of International Relation,HUMANITIES
368,Dept. of Economics,SCIENCE
371,Dept. of Economics,SCIENCE
372,Dept. of Finance,SCIENCE
375,Dept. of Economics,SCIENCE
376,Dept. of Public Administration,HUMANITIES
381,Dept. of Public Administration,HUMANITIES
382,Dept. of International Relation,HUMANITIES
383,Dept. of International Relation,SCIENCE
384,Dept. of International Relation,HUMANITIES
388,Dept. of International Relation,BUSINESS
390,Dept. of Public Administration,HUMANITIES
391,Dept. of Development Studies,SCIENCE
392,Dept. of Communication & Journalism,HUMANITIES
393,Dept. of International Relation,HUMANITIES
398,Dept. of International Relation,SCIENCE
399,Dept. of International Relation,SCIENCE
400,Dept. of Communication & Journalism,HUMANITIES
401,Dept. of Public Administration,HUMANITIES
402,Dept. of International Relation,SCIENCE
404,Dept. of International Relation,HUMANITIES
407,Dept. of Political Science,HUMANITIES
408,Dept. of International Relation,HUMANITIES
409,Dept. of Development Studies,SCIENCE
410,Dept. of International Relation,SCIENCE
411,Dept. of International Relation,SCIENCE
412,Dept. of International Relation,BUSINESS
413,Dept. of Development Studies,HUMANITIES
416,Dept. of International Relation,SCIENCE
417,Dept. of Finance,SCIENCE
418,Dept. of International Relation,HUMANITIES
419,Dept. of International Relation,SCIENCE
421,Dept. of Public Administration,SCIENCE
422,Dept. of Finance,SCIENCE
423,Dept. of International Relation,SCIENCE
425,Dept. of Criminology & Police Science,SCIENCE
426,Dept. of International Relation,SCIENCE
427,Dept. of Public Administration,HUMANITIES
428,Dept. of Public Administration,SCIENCE
429,Dept. of International Relation,SCIENCE
431,Dept. of International Relation,SCIENCE
433,Dept. of Public Administration,HUMANITIES
434,Dept. of Sociology,HUMANITIES
435,Dept. of Political Science,SCIENCE
436,Dept. of Criminology & Police Science,HUMANITIES
437,Dept. of International Relation,SCIENCE
438,Dept. of Political Science,HUMANITIES
439,Dept. of Public Administration,SCIENCE
441,Dept. of Political Science,HUMANITIES
442,Dept. of Public Administration,HUMANITIES
443,Dept. of Public Administration,HUMANITIES
444,Dept. of International Relation,SCIENCE
445,Dept. of Finance,SCIENCE
446,Dept. of International Relation,SCIENCE
447,Dept. of International Relation,SCIENCE
448,Dept. of International Relation,BUSINESS
449,Dept. of Public Administration,SCIENCE
453,Dept. of Geography and Environmental Studies,HUMANITIES
454,Dept. of Sociology,BUSINESS
455,Dept. of Political Science,HUMANITIES
456,Dept. of Political Science,HUMANITIES
457,Dept. of Political Science,HUMANITIES
461,Dept. of Public Administration,HUMANITIES
462,Dept. of Public Administration,HUMANITIES
463,Dept. of International Relation,SCIENCE
464,Dept. of International Relation,SCIENCE
466,Dept. of Political Science,HUMANITIES
467,Dept. of Development Studies,HUMANITIES
468,Dept. of Public Administration,SCIENCE
469,Dept. of Public Administration,HUMANITIES
470,Dept. of Economics,BUSINESS
471,Dept. of Public Administration,SCIENCE
472,Dept. of Political Science,SCIENCE
474,Dept. of Economics,BUSINESS
475,Dept. of Finance,SCIENCE
477,Dept. of Criminology & Police Science,SCIENCE
478,Dept. of Public Administration,SCIENCE
480,Dept. of Communication & Journalism,SCIENCE
481,Dept. of Public Administration,SCIENCE
483,Dept. of Political Science,SCIENCE
485,Dept. of Public Administration,SCIENCE
486,Dept. of Public Administration,SCIENCE
487,Dept. of Communication & Journalism,SCIENCE
488,Dept. of Political Science,HUMANITIES
489,Dept. of Political Science,HUMANITIES
490,Dept. of International Relation,BUSINESS
492,Dept. of Criminology & Police Science,HUMANITIES
493,Dept. of Public Administration,SCIENCE
494,Dept. of Political Science,HUMANITIES
495,Dept. of Public Administration,HUMANITIES
496,Dept. of Political Science,HUMANITIES
497,Dept. of Political Science,HUMANITIES
499,Dept. of Public Administration,SCIENCE
500,Dept. of Development Studies,SCIENCE
501,Dept. of Political Science,HUMANITIES
502,Dept. of Public Administration,HUMANITIES
503,Dept. of Development Studies,HUMANITIES
504,Dept. of Public Administration,HUMANITIES
505,Dept. of Public Administration,SCIENCE
506,Dept. of Public Administration,SCIENCE
507,Dept. of Public Administration,SCIENCE
508,Dept. of Economics,BUSINESS
510,Dept. of Development Studies,SCIENCE
511,Dept. of Public Administration,SCIENCE
513,Dept. of Public Administration,SCIENCE
514,Dept. of Political Science,HUMANITIES
515,Dept. of Public Administration,HUMANITIES
520,Dept. of Finance,SCIENCE
521,Dept. of Criminology & Police Science,HUMANITIES
523,Dept. of Development Studies,HUMANITIES
524,Dept. of Political Science,HUMANITIES
526,Dept. of Political Science,HUMANITIES
527,Dept. of Public Administration,HUMANITIES
528,Dept. of Public Administration,SCIENCE
529,Dept. of Development Studies,SCIENCE
531,Dept. of Political Science,SCIENCE
532,Dept. of Finance,SCIENCE
534,Dept. of Development Studies,SCIENCE
535,Dept. of Accounting,SCIENCE
538,Dept. of Criminology & Police Science,SCIENCE
539,Dept. of Public Administration,HUMANITIES
541,Dept. of Political Science,HUMANITIES
542,Dept. of Political Science,HUMANITIES
544,Dept. of Political Science,HUMANITIES
546,Dept. of Political Science,HUMANITIES
547,Dept. of Public Administration,SCIENCE
548,Dept. of Public Administration,HUMANITIES
549,Dept. of Political Science,HUMANITIES
550,Dept. of Development Studies,HUMANITIES
551,Dept. of Public Administration,HUMANITIES
553,Dept. of Development Studies,SCIENCE
554,Dept. of Public Administration,SCIENCE
556,Dept. of Political Science,HUMANITIES
557,Dept. of Public Administration,SCIENCE
558,Dept. of Public Administration,SCIENCE
559,Dept. of Sociology,HUMANITIES
561,Dept. of Public Administration,SCIENCE
562,Dept. of International Relation,BUSINESS
563,Dept. of Criminology & Police Science,HUMANITIES
564,Dept. of Public Administration,SCIENCE
566,Dept. of Political Science,HUMANITIES
569,Dept. of Public Administration,HUMANITIES
570,Dept. of Public Administration,SCIENCE
571,Dept. of Public Administration,HUMANITIES
572,Dept. of Public Administration,SCIENCE
573,Dept. of Public Administration,SCIENCE
574,Dept. of International Relation,BUSINESS
575,Dept. of Public Administration,HUMANITIES
576,Dept. of Development Studies,HUMANITIES
577,Dept. of Public Administration,SCIENCE
578,Dept. of Communication & Journalism,SCIENCE
580,Dept. of Public Administration,SCIENCE
581,Dept. of Economics,BUSINESS
585,Dept. of Development Studies,SCIENCE
588,Dept. of Public Administration,SCIENCE
589,Dept. of Criminology & Police Science,SCIENCE
593,Dept. of Political Science,SCIENCE
594,Dept. of Criminology & Police Science,SCIENCE
595,Dept. of Public Administration,SCIENCE
598,Dept. of Public Administration,SCIENCE
599,Dept. of Public Administration,HUMANITIES
600,Dept. of Political Science,HUMANITIES
605,Dept. of Political Science,HUMANITIES
606,Dept. of Public Administration,SCIENCE
608,Dept. of International Relation,BUSINESS
609,Dept. of Communication & Journalism,SCIENCE
610,Dept. of Political Science,HUMANITIES
611,Dept. of Public Administration,HUMANITIES
612,Dept. of Political Science,HUMANITIES
613,Dept. of Political Science,HUMANITIES
614,Dept. of Development Studies,BUSINESS
615,Dept. of Banking & Insurance,SCIENCE
616,Dept. of Political Science,SCIENCE
618,Dept. of Political Science,HUMANITIES
619,Dept. of Public Administration,SCIENCE
620,Dept. of Development Studies,SCIENCE
621,Dept. of Political Science,SCIENCE
625,Dept. of Development Studies,SCIENCE
626,Dept. of Criminology & Police Science,HUMANITIES
628,Dept. of Public Administration,HUMANITIES
629,Dept. of Public Administration,HUMANITIES
630,Dept. of Political Science,HUMANITIES
632,Dept. of Development Studies,HUMANITIES
634,Dept. of Political Science,HUMANITIES
635,Dept. of Political Science,SCIENCE
636,Dept. of Political Science,SCIENCE
637,Dept. of Development Studies,HUMANITIES
638,Dept. of Political Science,SCIENCE
639,Dept. of Public Administration,HUMANITIES
640,Dept. of Development Studies,SCIENCE
641,Dept. of Public Administration,SCIENCE
642,Dept. of Political Science,HUMANITIES
643,Dept. of Banking & Insurance,SCIENCE
644,Dept. of Economics,BUSINESS
645,Dept. of Political Science,HUMANITIES
646,Dept. of Political Science,SCIENCE
648,Dept. of Political Science,SCIENCE
650,Dept. of Development Studies,SCIENCE
651,Dept. of Communication & Journalism,SCIENCE
652,Dept. of Public Administration,SCIENCE
653,Dept. of Sociology,SCIENCE
655,Dept. of Public Administration,SCIENCE
656,Dept. of Public Administration,SCIENCE
659,Dept. of Sociology,HUMANITIES
660,Dept. of Economics,BUSINESS
661,Dept. of Development Studies,HUMANITIES
662,Dept. of Political Science,HUMANITIES
663,Dept. of Political Science,HUMANITIES
664,Dept. of Political Science,SCIENCE
665,Dept. of International Relation,BUSINESS
666,Dept. of Public Administration,HUMANITIES
667,Dept. of Economics,BUSINESS
668,Dept. of Sociology,SCIENCE
669,Dept. of Political Science,HUMANITIES
670,Dept. of Public Administration,HUMANITIES
671,Dept. of Economics,BUSINESS
672,Dept. of Political Science,HUMANITIES
673,Dept. of Sociology,HUMANITIES
674,Dept. of Economics,BUSINESS
675,Dept. of Public Administration,HUMANITIES
676,Dept. of Management,SCIENCE
678,Dept. of Human Resources Management,SCIENCE
680,Dept. of Public Administration,HUMANITIES
681,Dept. of Public Administration,SCIENCE
683,Dept. of Public Administration,HUMANITIES
684,Dept. of Political Science,SCIENCE
685,Dept. of Political Science,HUMANITIES
686,Dept. of Public Administration,HUMANITIES
687,Dept. of Public Administration,HUMANITIES
689,Dept. of Sociology,HUMANITIES
690,Dept. of Public Administration,SCIENCE
691,Dept. of Political Science,HUMANITIES
692,Dept. of Political Science,SCIENCE
693,Dept. of Communication & Journalism,HUMANITIES
696,Dept. of Public Administration,HUMANITIES
697,Dept. of Public Administration,HUMANITIES
699,Dept. of Finance,HUMANITIES
700,Dept. of Political Science,HUMANITIES
701,Dept. of Political Science,HUMANITIES
702,Dept. of Public Administration,HUMANITIES
703,Dept. of Political Science,SCIENCE
707,Dept. of Public Administration,SCIENCE
708,Dept. of Public Administration,HUMANITIES
709,Dept. of Accounting,SCIENCE
710,Dept. of Public Administration,SCIENCE
712,Dept. of Public Administration,SCIENCE
713,Dept. of Political Science,HUMANITIES
714,Dept. of Criminology & Police Science,SCIENCE
715,Dept. of Public Administration,SCIENCE
716,Dept. of Political Science,HUMANITIES
717,Dept. of Political Science,HUMANITIES
718,Dept. of Public Administration,HUMANITIES
720,Dept. of Public Administration,HUMANITIES
722,Dept. of Communication & Journalism,HUMANITIES
723,Dept. of Public Administration,HUMANITIES
724,Dept. of Public Administration,SCIENCE
726,Dept. of Sociology,HUMANITIES
727,Dept. of Sociology,HUMANITIES
728,Dept. of Sociology,HUMANITIES
729,Dept. of Accounting,SCIENCE
730,Dept. of Development Studies,HUMANITIES
731,Dept. of Criminology & Police Science,HUMANITIES
732,Dept. of Communication & Journalism,HUMANITIES
733,Dept. of Finance,HUMANITIES
734,Dept. of Political Science,SCIENCE
736,Dept. of Political Science,SCIENCE
738,Dept. of Public Administration,SCIENCE
739,Dept. of Sociology,HUMANITIES
742,Dept. of Marketing,SCIENCE
743,Dept. of Public Administration,SCIENCE
745,Dept. of Public Administration,HUMANITIES
749,Dept. of Criminology & Police Science,SCIENCE
751,Dept. of Political Science,SCIENCE
752,Dept. of Sociology,HUMANITIES
753,Dept. of Public Administration,SCIENCE
756,Dept. of Public Administration,HUMANITIES
759,Dept. of Public Administration,HUMANITIES
760,Dept. of Public Administration,SCIENCE
761,Dept. of International Relation,BUSINESS
762,Dept. of Public Administration,HUMANITIES
766,Dept. of Criminology & Police Science,HUMANITIES
767,Dept. of Communication & Journalism,HUMANITIES
768,Dept. of Development Studies,HUMANITIES
769,Dept. of Political Science,SCIENCE
770,Dept. of International Relation,BUSINESS
772,Dept. of Public Administration,HUMANITIES
773,Dept. of Public Administration,HUMANITIES
774,Dept. of Public Administration,SCIENCE
776,Dept. of Public Administration,HUMANITIES
777,Dept. of Geography and Environmental Studies,HUMANITIES
779,Dept. of Political Science,SCIENCE
780,Dept. of Public Administration,HUMANITIES
781,Dept. of Public Administration,HUMANITIES
782,Dept. of Criminology & Police Science,HUMANITIES
783,Dept. of Criminology & Police Science,HUMANITIES
785,Dept. of International Relation,BUSINESS
786,Dept. of Sociology,HUMANITIES
787,Dept. of Public Administration,SCIENCE
788,Dept. of Political Science,SCIENCE
790,Dept. of Criminology & Police Science,SCIENCE
791,Dept. of Political Science,SCIENCE
792,Dept. of Political Science,SCIENCE
793,Dept. of Communication & Journalism,SCIENCE
794,Dept. of Political Science,SCIENCE
795,Dept. of Political Science,SCIENCE
797,Dept. of Sociology,HUMANITIES
799,Dept. of Sociology,HUMANITIES
800,Dept. of Sociology,HUMANITIES
801,Dept. of Economics,BUSINESS
803,Dept. of Political Science,SCIENCE
804,Dept. of International Relation,BUSINESS
805,Dept. of Political Science,SCIENCE
806,Dept. of Political Science,SCIENCE
807,Dept. of Communication & Journalism,HUMANITIES
808,Dept. of Communication & Journalism,SCIENCE
809,Dept. of Sociology,HUMANITIES
810,Dept. of Sociology,HUMANITIES
811,Dept. of Political Science,SCIENCE
812,Dept. of Criminology & Police Science,HUMANITIES
813,Dept. of Geography and Environmental Studies,HUMANITIES
814,Dept. of Sociology,HUMANITIES
815,Dept. of Criminology & Police Science,HUMANITIES
816,Dept. of Political Science,SCIENCE
817,Dept. of Sociology,HUMANITIES
818,Dept. of Communication & Journalism,HUMANITIES
821,Dept. of Political Science,SCIENCE
822,Dept. of Economics,BUSINESS
824,Dept. of Sociology,HUMANITIES
825,Dept. of Communication & Journalism,HUMANITIES
826,Dept. of Communication & Journalism,HUMANITIES
829,Dept. of Communication & Journalism,SCIENCE
830,Dept. of Communication & Journalism,SCIENCE
832,Dept. of Sociology,HUMANITIES
833,Dept. of Political Science,SCIENCE
834,Dept. of Sociology,HUMANITIES
835,Dept. of Sociology,HUMANITIES
837,Dept. of Criminology & Police Science,HUMANITIES
839,Dept. of Sociology,SCIENCE
840,Dept. of Sociology,HUMANITIES
841,Dept. of Political Science,SCIENCE
842,Dept. of Political Science,SCIENCE
843,Dept. of Sociology,HUMANITIES
844,Dept. of Sociology,HUMANITIES
845,Dept. of Political Science,SCIENCE
846,Dept. of Criminology & Police Science,SCIENCE
847,Dept. of Sociology,HUMANITIES
848,Dept. of Communication & Journalism,HUMANITIES
849,Dept. of Sociology,HUMANITIES
850,Dept. of Sociology,HUMANITIES
853,Dept. of International Relation,BUSINESS
854,Dept. of Communication & Journalism,HUMANITIES
855,Dept. of Sociology,HUMANITIES
856,Dept. of Economics,BUSINESS
857,Dept. of Geography and Environmental Studies,HUMANITIES
858,Dept. of Communication & Journalism,HUMANITIES
859,Dept. of Sociology,HUMANITIES
860,Dept. of Political Science,SCIENCE
865,Dept. of Communication & Journalism,HUMANITIES
867,Dept. of Communication & Journalism,HUMANITIES
868,Dept. of Sociology,HUMANITIES
869,Dept. of Political Science,SCIENCE
870,Dept. of Political Science,SCIENCE
871,Dept. of Geography and Environmental Studies,HUMANITIES
872,Dept. of Communication & Journalism,HUMANITIES
873,Dept. of Political Science,SCIENCE
875,Dept. of Psychology,HUMANITIES
876,Dept. of Political Science,SCIENCE
877,Dept. of Communication & Journalism,HUMANITIES
878,Dept. of Sociology,HUMANITIES
879,Dept. of Political Science,SCIENCE
881,Dept. of Sociology,HUMANITIES
882,Dept. of Communication & Journalism,SCIENCE
883,Dept. of Communication & Journalism,SCIENCE
885,Dept. of Criminology & Police Science,SCIENCE
887,Dept. of Sociology,HUMANITIES
888,Dept. of Political Science,SCIENCE
890,Dept. of Sociology,HUMANITIES
891,Dept. of Sociology,HUMANITIES
894,Dept. of Communication & Journalism,HUMANITIES
897,Dept. of Communication & Journalism,HUMANITIES
899,Dept. of Sociology,HUMANITIES
900,Dept. of Sociology,HUMANITIES
901,Dept. of Sociology,HUMANITIES
903,Dept. of Sociology,HUMANITIES
904,Dept. of Political Science,SCIENCE
905,Dept. of Sociology,HUMANITIES
907,Dept. of Political Science,SCIENCE
909,Dept. of Sociology,HUMANITIES
910,Dept. of Sociology,HUMANITIES
911,Dept. of Political Science,SCIENCE
912,Dept. of Sociology,HUMANITIES
914,Dept. of Sociology,SCIENCE
915,Dept. of Geography and Environmental Studies,HUMANITIES
917,Dept. of Communication & Journalism,SCIENCE
921,Dept. of Political Science,SCIENCE
922,Dept. of Political Science,SCIENCE
924,Dept. of Human Resources Management,SCIENCE
925,Dept. of Political Science,SCIENCE
926,Dept. of Communication & Journalism,HUMANITIES
927,Dept. of Criminology & Police Science,SCIENCE
929,Dept. of Communication & Journalism,HUMANITIES
930,Dept. of Sociology,HUMANITIES
932,Dept. of Communication & Journalism,SCIENCE
935,Dept. of Sociology,HUMANITIES
937,Dept. of Sociology,HUMANITIES
938,Dept. of Communication & Journalism,HUMANITIES
939,Dept. of Sociology,HUMANITIES
940,Dept. of Accounting,SCIENCE
941,Dept. of Economics,BUSINESS
942,Dept. of Communication & Journalism,HUMANITIES
943,Dept. of Sociology,HUMANITIES
944,Dept. of Sociology,HUMANITIES
945,Dept. of Sociology,HUMANITIES
947,Dept. of Sociology,HUMANITIES
948,Dept. of Communication & Journalism,HUMANITIES
951,Dept. of Anthropology,HUMANITIES
954,Dept. of Anthropology,HUMANITIES
955,Dept. of Anthropology,HUMANITIES
